epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,7,0.02338249608874321,0.7531100738974685,0.7535102387519317,0.7481518642208695,2.910565093755722,6.297288818359375,2.070529274344444,2.722834846973419,3.5003045083582403,0.00495820967659899
50,7,0.017411798238754272,0.8109031202641773,0.7930914259511664,0.7960709182520822,1.961702493429184,3.5244554233551026,2.056289572119713,2.3254463362693785,2.4669734562933443,0.01483220201209512
100,7,0.015981851145625114,0.828979494096177,0.7936762496546088,0.8010750418249103,1.9230670595169068,3.380602378845215,2.0659502202272417,2.2983906054496765,2.41700256600976,0.0279044522712667
200,7,0.014808525331318378,0.8401213551723942,0.797853837420742,0.8047929525767727,1.9591987383365632,3.1782414007186888,1.995267424583435,2.164097650051117,2.324201303422451,0.03532840259562142
