epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,0,0.021822039037942886,0.774914067793548,0.765934377437082,0.7697346534204107,2.04806116938591,4.041432218551636,2.6639128237962724,2.9220624113082887,2.918867155760527,0.005179414373137292
50,0,0.018743956461548805,0.8143704585954636,0.7824520143450399,0.7901187068744779,2.0295606845617296,3.0289230012893675,2.5302715146541597,2.629427387714386,2.5545456470549106,0.024251751720985704
100,0,0.014593472704291344,0.8328652617513734,0.7855167326507915,0.7932288263935976,2.11702272772789,2.864464783668518,2.434175801873207,2.62339937210083,2.5097656713426115,0.039636435357775834
200,0,0.014284394681453705,0.8469631185681373,0.790791754117506,0.7995210884363365,2.048024435043335,2.7813879156112673,2.266459050178528,2.572695560455322,2.417141740322113,0.047442030131800816
