epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,4,0.02532767318189144,0.7579428696824304,0.7489380922993655,0.7510447240039754,3.092392551898956,5.112003445625305,2.1543810141086577,3.106683964729309,3.366365244090557,0.006898145678455037
50,4,0.028127413243055344,0.8064953609523872,0.7706239489201618,0.7800659904847065,2.1364874494075776,4.547413878440857,2.1274115777015687,2.4888134884834288,2.825031598508358,0.02642937046768068
100,4,0.01835547387599945,0.8240299510579402,0.7813756527186756,0.7868462887277023,1.9389215695858002,4.148170480728149,2.126696854829788,2.4162852478027346,2.657518538236618,0.03718366233023784
200,4,0.01610965095460415,0.8419700774319872,0.7885130464775512,0.7952751322125522,1.8291398453712464,3.682801504135132,2.096346787214279,2.345494074821472,2.4884455528855325,0.04669494521943496
