epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,7,0.02051793411374092,0.7619626941626282,0.7511463420876595,0.7549997361865435,3.325755771994591,5.012770566940308,1.9665871822834016,2.953485896587372,3.314649854451418,0.006962957976084705
50,7,0.02017498016357422,0.8069847077077928,0.7838749670569787,0.7885527956827406,2.171359533071518,4.231220126152039,1.9511406362056731,2.3111442923545837,2.6662161469459535,0.018431912025052233
100,7,0.016803449019789696,0.8307046274382415,0.7966500557625977,0.8065984468675282,2.0040791070461275,2.854022660255432,1.9697978383302688,2.2486477065086365,2.269136828035116,0.02410618057071323
200,7,0.016594309359788895,0.8390868373999638,0.8063509896193582,0.8166094737314539,1.9448709511756896,2.519952807426453,1.8043941408395767,2.185661563873291,2.1137198658287524,0.022477363668509942
