epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,4,0.024674585089087486,0.7639234312912184,0.7447302790003408,0.7462095710802465,3.1502751517295837,5.238453269004822,2.5908683162927626,3.012351493835449,3.497987057715654,0.017713860210971877
50,4,0.016965946182608604,0.821737797442769,0.7855575878096401,0.7921214846540232,1.9864902186393738,3.3076537370681764,2.2885909456014635,2.49054621219635,2.5183202783763408,0.02961631278874577
100,4,0.01473681628704071,0.8408351081246765,0.7934053286680186,0.7997097968843372,1.8739078879356383,3.0271696710586546,2.206314756274223,2.43822630405426,2.3864046548306943,0.04112531124033936
200,4,0.013354693539440632,0.8515745711044975,0.7991961668832068,0.8047541505486768,1.8211368942260742,2.807078185081482,2.187962003350258,2.362300465106964,2.2946193869411946,0.046820420555820697
