epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,3,0.018099607899785042,0.7879164975850479,0.7851977758203853,0.7854469436829976,2.640392367243767,3.798662371635437,1.657599972486496,3.1109400153160096,2.801898681670427,0.002469553902050281
50,3,0.01827242597937584,0.8263760216415911,0.7995773221446103,0.8050640988838709,2.090152425169945,3.1278950929641725,1.6478089874982833,2.5080519199371336,2.3434771063923834,0.021311922757720203
100,3,0.013535389676690102,0.8403799504713462,0.8090109512219279,0.8137196204830782,2.0694001865386964,2.4936558914184572,1.6014224064350129,2.4618366289138796,2.1565787783265113,0.02666032998826795
200,3,0.012575017288327217,0.8639323760317406,0.8178286543531776,0.8215820747378835,2.0268591314554216,2.2893017768859862,1.4423744064569473,2.4320052337646483,2.047635137140751,0.042350301293857084
