epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,9,0.03383636847138405,0.7708340467739874,0.7733222405744925,0.7689219666519613,2.8708061373233793,4.662720975875854,1.86854046523571,2.656131694316864,3.014549818187952,0.0019120801220260386
50,9,0.021143360063433647,0.8114708304043096,0.7894789749363862,0.7929739970907349,2.145088962316513,3.7592254066467286,1.7380893069505692,2.650527522563934,2.5732327996194364,0.018496833313574657
100,9,0.01526035089045763,0.8320978825828146,0.8015948798958996,0.8105655278884697,2.0565603160858155,2.6614796209335325,1.6848341661691666,2.501700584888458,2.2261436720192433,0.02153235469434489
200,9,0.014154031872749329,0.8565979236313652,0.829808614061688,0.8293969719636061,2.016939516067505,2.187716369628906,1.262954397201538,2.3644813561439513,1.958022909760475,0.027200951667759155
