epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,2,0.024455362930893898,0.7853715094619197,0.7705701047508059,0.7758443205131742,2.9664803087711333,4.6359160089492795,1.8310876083374024,2.563426640033722,2.9992276415228845,0.00952718894874549
50,2,0.021924853324890137,0.8142497573712829,0.7832681461505832,0.7934218592670476,2.219193052649498,4.175809149742126,1.7064137542247773,2.392038757801056,2.6233636786043646,0.020827898104235354
100,2,0.01510495226830244,0.8352953458581434,0.8004453068931321,0.8111048004881704,2.1450089627504347,3.0274570751190186,1.6595803755521774,2.2814518308639524,2.278374561071396,0.024190545369973004
200,2,0.013446129858493805,0.8628917441526085,0.8264196826719159,0.8333019008073499,2.0853294229507444,2.300387325286865,1.2604032158851624,2.1289123725891113,1.943758084177971,0.029589843345258604
