epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,8,0.022697899490594864,0.7784668508114353,0.7665330522977452,0.7686894734249498,2.1891277194023133,4.833974280357361,1.949440177679062,2.632443251609802,2.9012463572621345,0.009777377386485542
50,8,0.02061421051621437,0.8080122135362174,0.7791362078187322,0.7846288631599739,2.0002803444862365,4.35318585395813,1.7348751854896545,2.4292995142936706,2.629410224556923,0.023383350376243506
100,8,0.0170896016061306,0.821492096664451,0.7877925426067323,0.7945358994088514,1.9541553115844728,4.047299814224243,1.68420035302639,2.342060809135437,2.506929071992636,0.026956197255599612
200,8,0.014850849285721779,0.8532603154960132,0.8021442940921308,0.8133400690337454,1.950035184621811,3.2689400625228884,1.3726707530021667,2.3392758417129516,2.2327304604649543,0.03992024646226777
