epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,1,0.02193198911845684,0.7802944331908195,0.7620954127271018,0.7675842789048337,2.0515745747089387,4.710137157440186,2.254807315468788,2.7363444495201112,2.9382158742845057,0.012710154285985764
50,1,0.017620721831917763,0.8204337997023964,0.7668035404129954,0.7797130113815354,1.9922151792049407,4.195038967132568,2.134322535991669,2.665915069580078,2.746872937977314,0.04072078832086101
100,1,0.018023889511823654,0.8335852581493812,0.7752064333118323,0.7881495836604938,1.9063984364271165,3.5375085210800172,2.0719868433475495,2.64229159116745,2.5395463480055334,0.04543567448888741
200,1,0.014285740442574024,0.8506612860954341,0.7835200600288756,0.795424894887893,1.8249037760496138,3.150299348831177,2.0382613557577134,2.539317498207092,2.388195494711399,0.05523639120754109
