epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,7,0.021121343597769737,0.7557693651418432,0.744007148514822,0.7500270792823122,3.593833849430084,5.496338367462158,1.9138488560914992,2.9114996552467347,3.478880182057619,0.005742285859531071
50,7,0.018916938453912735,0.8083621732754597,0.7901971691975969,0.7939357085805616,2.20817953646183,4.103056583404541,1.8586231499910355,2.2450825595855712,2.6037354573607443,0.014426464694898056
100,7,0.01650286093354225,0.8328112274232583,0.7999611405517766,0.8089429783665352,2.0895043194293974,2.7841214466094972,1.8795621275901795,2.209812617301941,2.240750127732754,0.023868249056723134
200,7,0.016381442546844482,0.8405439477213852,0.8062245095347502,0.8190071730355133,2.0342350673675536,2.3682808923721312,1.7571837389469147,2.159578230381012,2.079819482266903,0.021536774685871896
