epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,3,0.02076105587184429,0.7798904381173708,0.7668008022193663,0.7790433276144151,2.469462786912918,4.099770827293396,1.843560022711754,2.998071756362915,2.8527163483202456,0.0008471105029557169
50,3,0.019775064662098885,0.820244325592731,0.7858935270226083,0.7974858909515348,2.0595282250642777,3.5034754610061647,1.7814066064357759,2.5336661958694457,2.469519122093916,0.0227584346411962
100,3,0.015049141831696033,0.8326862960967445,0.7924736218649214,0.8066045132288535,2.0284745639562605,2.841964223384857,1.8435068398714065,2.3621457028388977,2.2690228325128556,0.02608178286789098
200,3,0.015077504329383373,0.8427538535227984,0.7977898762966953,0.8125401718892016,1.9737463283538819,2.63677255153656,1.7780665069818498,2.2927355909347535,2.1703302444517614,0.030213681633596834
