epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,3,0.02715032920241356,0.7558494150445744,0.733260389156313,0.7426681578839549,3.1248739206790925,5.679553699493408,1.828053388595581,3.783565673828125,3.6040116706490517,0.013181257160619464
50,3,0.021590102463960648,0.812207474896843,0.7846902498965521,0.7963507028334372,2.2510801124572755,3.7987471866607665,1.6900399482250215,2.395838851928711,2.5339265248179434,0.015856772063405744
100,3,0.01625070720911026,0.833905491889899,0.8124191166622723,0.8173436885241707,2.101687427163124,2.7541689538955687,1.4809622764587402,2.271725804805756,2.152136115580797,0.016561803365728323
200,3,0.013715689070522785,0.8668142279979503,0.8447000145388237,0.8429437689155137,1.976531612277031,2.2845652675628663,1.0034377676248551,2.011693465709686,1.8190570282936096,0.023870459082436568
