epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,4,0.022142520174384117,0.7831360781360682,0.7583395871458507,0.7621150788699564,2.5095418238639833,5.489096603393555,1.9750353705883026,2.9140720653533934,3.2219364657998084,0.021020999266111784
50,4,0.02557498589158058,0.8110701767033582,0.780430018136487,0.7877188479945477,2.0001900577545166,4.679087448120117,1.9510204750299454,2.2517455434799194,2.7205108810961245,0.023351328708810515
100,4,0.018413713201880455,0.824664328327166,0.7911989807043781,0.8039522731457193,1.8834841787815093,3.7105658197402955,2.021829515695572,1.9987631225585938,2.4036606591939926,0.020712055181446698
200,4,0.013090630993247032,0.8466532097639741,0.806109347313551,0.8211606708496316,1.7468904173374176,2.4614285326004026,1.9039679390192032,1.9512130832672119,2.015874993056059,0.025492538914342444
