epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,2,0.02869807556271553,0.7727007960104073,0.761211990586711,0.7667531978200919,2.2554292076826097,4.103010411262512,2.233436434864998,3.076781916618347,2.9171644926071165,0.0059475981903154285
50,2,0.020797448232769966,0.8187954379465591,0.7864052918955841,0.7898134432177024,1.906929805278778,3.7728410816192626,1.990611582994461,2.5532860112190248,2.5559171202778814,0.028981994728856653
100,2,0.016851987689733505,0.8335088440483078,0.7946457615376434,0.8001345319774467,1.8538878434896469,3.1184661102294924,1.9717058801651002,2.4550645899772645,2.3497811059653757,0.03337431207086117
200,2,0.013228764757514,0.8525752129858577,0.8027576759517271,0.808835979449595,1.796918825507164,2.7324126958847046,1.8844338923692703,2.397233204841614,2.202749654650688,0.043739233536262745
