epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,9,0.02850397862493992,0.7775483906429893,0.7601422307621226,0.7647163472688646,3.273280081152916,4.474945888519287,2.427548664808273,2.3751273059844973,3.1377254851162433,0.012832043374124691
50,9,0.017573460936546326,0.8197397325959704,0.7853625149320587,0.7895569332367077,2.921363382935524,3.28920999288559,2.109852150082588,2.238901610374451,2.6398317840695382,0.030182799359262713
100,9,0.015380129218101501,0.8328058761035657,0.7936326072268993,0.8031027247245206,2.2750222355127336,3.144857153892517,2.051228650212288,2.1458948707580565,2.4042507275938987,0.029703151379045112
200,9,0.014906829223036766,0.8562871746628764,0.8094780250687963,0.8171881879416227,1.8686165082454682,2.657798571586609,2.0752166318893432,2.057366437911987,2.164749537408352,0.03909898672125367
