epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,9,0.034902505576610565,0.7631366760609501,0.7528174027258604,0.7521090640086928,3.026533102989197,5.2278618907928465,2.4993746531009675,2.8999102306365967,3.413419969379902,0.01102761205225733
50,9,0.021512094885110855,0.8079288033188711,0.7818947284425694,0.7821513245639161,2.115276699066162,4.020210814476013,2.1572482132911683,2.717711353302002,2.752611770033836,0.025777478754954952
100,9,0.01605086214840412,0.827936323546159,0.7871327629180729,0.793343520740253,1.9224240922927855,3.2235808992385864,2.0216179889440538,2.8108429980278014,2.4946164946258067,0.03459280280590593
200,9,0.016945553943514824,0.8449830381261055,0.7976241425761605,0.8027846741339636,1.9077484464645387,2.8826444244384763,1.915627847313881,2.6307820177078245,2.33420068398118,0.04219836399214194
