epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,5,0.02318446896970272,0.7883068649380612,0.7657888521087324,0.7751146145484853,2.627585092782974,4.384402084350586,2.038627814054489,2.659645116329193,2.9275650268793108,0.013192250389575944
50,5,0.016895126551389694,0.8225448762215444,0.788306336967821,0.7990580927153278,2.138726883530617,3.453406729698181,1.8855419641733169,2.4151562690734862,2.4732079616189004,0.02348678350621658
100,5,0.016202177852392197,0.8340392888335775,0.7970426164127242,0.81002304481786,2.0491265815496447,2.5988949012756346,1.8299171566963195,2.394470956325531,2.2181023989617823,0.024016244015717447
200,5,0.013428518548607826,0.8413862110289176,0.8001253397570939,0.8156634580789718,2.0788437777757647,2.3288658714294432,1.7195335453748704,2.348651547431946,2.118973685503006,0.02572275294994586
