epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,2,0.02579490840435028,0.7822297673065322,0.766424794190246,0.7686849445778978,2.3426352989673616,4.844828200340271,1.9743564379215242,2.717529630661011,2.9698373919725416,0.013544822728634331
50,2,0.023052556440234184,0.8117430781920482,0.7790176004421226,0.7848369068197607,1.966154950261116,4.27544017791748,1.9224471408128738,2.668062636852264,2.708026226460934,0.026906171372287457
100,2,0.020417470484972,0.8197585817934017,0.7858173636389608,0.7947136410453546,1.942114723920822,3.573241701126099,1.9152447885274888,2.567822358608246,2.499605893045664,0.025044940748047084
200,2,0.015933524817228317,0.8344605919751643,0.7975356037575417,0.8101757613731051,1.9442488902807236,2.962679080963135,1.759958192706108,2.2877644228935243,2.2386626467108726,0.024284830602059215
