epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,4,0.019766563549637794,0.7903467329056093,0.7884398120020838,0.7861460522665046,2.563594366312027,3.6959474992752077,2.0193008190393447,2.942172565460205,2.805253812521696,0.004200680639104726
50,4,0.016008410602808,0.8329773271388176,0.8223695378553221,0.8108252727335156,2.0646057999134064,2.4226856660842895,1.9090173846483232,2.666838200092316,2.265786762684584,0.02215205440530199
100,4,0.01501351036131382,0.850976733051381,0.8260163465032305,0.8199702726591149,2.0105636155605318,2.3379305815696716,1.6853532177209853,2.4829180431365967,2.1291913644969465,0.031006460392266066
200,4,0.00937979482114315,0.8783610213879973,0.8345808138244163,0.8309421996844628,1.9734617280960083,2.3046587467193604,1.3062987446784973,2.3492160558700563,1.9834088188409806,0.04741882170353451
