epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,7,0.019298093393445015,0.7716526736038025,0.75666834025105,0.7611535821437205,2.976471258997917,5.140627174377442,1.9529006391763688,2.7605796694755553,3.207644685506821,0.010499091460081988
50,7,0.019767988473176956,0.8118889801416398,0.7810034123155178,0.7882816821576211,2.0422032672166823,4.333455805778503,1.9860927760601044,2.3361066293716433,2.6744646196067334,0.023607297984018727
100,7,0.01692335680127144,0.829277498949005,0.7896704286030503,0.8013920492073952,1.9716539335250856,3.150036835670471,2.001621422171593,2.345750904083252,2.3672657738626004,0.02788544974160989
200,7,0.017158091068267822,0.8398224157728227,0.8025063423284571,0.8106694950634139,1.8779704535007478,2.679552116394043,1.86824644446373,2.3662222743034365,2.197997822165489,0.02915292070940878
