epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,6,0.021496493369340897,0.7776440931395433,0.7631463056932226,0.7643670948509242,2.334989321231842,4.472052202224732,2.277962824702263,2.7725217604637145,2.9643815271556377,0.013276998288619057
50,6,0.018655091524124146,0.8126536841902907,0.7846647263916033,0.7819673928384724,1.9477081990242004,4.013750157356262,1.9733740562200546,2.5892687177658082,2.6310252825915814,0.03068629135181833
100,6,0.017857376486063004,0.8234661102406495,0.7923311381559094,0.7897723607998245,1.9581763124465943,3.788966579437256,1.8900870448350906,2.526810095310211,2.541010008007288,0.03369374944082504
200,6,0.013872909359633923,0.8444753034961293,0.8083862075678202,0.805464432020119,1.8910752153396606,3.0544437551498413,1.8832934659719467,2.3669842886924743,2.2989491812884806,0.039010871476010345
