epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,1,0.022953907027840614,0.7657709515849977,0.7674539753689115,0.7667452996544448,2.395367217063904,4.722495136260986,2.035097922682762,2.6404251408576966,2.948346354216337,-0.000974348069447073
50,1,0.018668098375201225,0.810439431492362,0.7952560628904436,0.8074107886516728,2.039873552322388,2.770886950492859,1.8299864107370376,2.3365198826789855,2.2443166990578174,0.0030286428406891552
100,1,0.017070962116122246,0.8278923671181837,0.796491379047069,0.8103100197497827,1.9973256266117096,2.657948489189148,1.8967550998926164,2.2769618153572084,2.2072477577626706,0.01758234736840103
200,1,0.015655839815735817,0.8440315816714685,0.8122089054195121,0.8181119204549815,1.8985971772670747,2.5173573160171507,1.7848118185997008,2.0979339146614073,2.0746750566363334,0.025919661216487033
