epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,6,0.017503786832094193,0.7962047902957202,0.7829204359960156,0.7874977453199702,2.231105817556381,3.9319005966186524,2.0990953505039216,2.417178530693054,2.6698200738430025,0.008707044975750033
50,6,0.016826394945383072,0.8239220333243309,0.7973542441942011,0.8024029323297891,1.9886526614427567,3.2831144618988035,1.8822943234443665,2.314903657436371,2.3672412760555743,0.021519100994541795
100,6,0.01533581130206585,0.8313636176874136,0.8008789068674461,0.8066301977118735,1.9468181872367858,2.7571554136276246,1.902364231944084,2.3615703105926515,2.2419770358502866,0.024733419975540127
200,6,0.014244183897972107,0.8355681696494193,0.804545537762742,0.8118809831031073,1.8835193586349488,2.561334533691406,1.8204382413625717,2.337805631160736,2.1507744412124157,0.023687186546311967
