epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,8,0.01897590234875679,0.7758237189765697,0.7515958671170893,0.7599878995929004,2.11869764149189,5.025015678405762,2.348334811925888,2.8974931192398072,3.097385312765837,0.015835819383669292
50,8,0.016896134242415428,0.8126300999804174,0.7780858963204474,0.7913440073867197,1.9995242637395858,3.392944965362549,2.0973753541707993,2.4945241522789003,2.4960921838879586,0.021286092593697625
100,8,0.015747107565402985,0.8302112675435613,0.790064735886346,0.7993923865503483,1.9891781598329543,2.803585662841797,2.150070760846138,2.45589143037796,2.3496815034747125,0.03081888099321306
200,8,0.014857376925647259,0.8535802944859712,0.7962333013043877,0.7987469788293791,2.035356892943382,2.594785394668579,2.2141559970378877,2.5611509919166564,2.3513623191416264,0.05483331565659211
