epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,8,0.023165924474596977,0.7718774471032388,0.7646061159486816,0.7692249844043464,2.5644450545310975,4.479098582267762,1.8473845547437668,2.7580344319343566,2.9122406558692457,0.0026524626988924105
50,8,0.018886929377913475,0.8146335688843442,0.7759423031574738,0.791510889700335,2.240003757476807,4.21769980430603,1.7072813546657561,2.4309079813957215,2.648973224461079,0.02312267918400923
100,8,0.016266092658042908,0.8344227501775328,0.7957491448900275,0.8051756268280456,2.050277705192566,3.718523635864258,1.476358522772789,2.302412202358246,2.386893016546965,0.029247123349487203
200,8,0.01359887421131134,0.8611968126857122,0.8212648523954708,0.8261831772220887,1.9532679522037506,3.2073242044448853,1.0176152855157852,2.169004805088043,2.086803061813116,0.03501363546362357
