epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,7,0.018478095531463623,0.7672122452940936,0.7547050055718947,0.7575983790506846,2.3366669142246246,5.174170980453491,2.139162186384201,2.750616981983185,3.1001542657613754,0.009613866243408986
50,7,0.021677132695913315,0.7959550821630802,0.7771106259673408,0.7835936828219804,2.0002555108070372,3.641688928604126,2.383718458414078,2.4771121978759765,2.6256937739253043,0.01236139934109981
100,7,0.016863688826560974,0.8201874233411688,0.7888428573101735,0.7991854921292781,1.9976775991916655,3.2203404998779295,2.0449894922971725,2.3050840663909913,2.3920229144394396,0.021001931211890645
200,7,0.01653258502483368,0.8334343564613671,0.8007392377819283,0.8087148157138725,1.6292890614271165,2.812778196334839,2.1327594041824343,2.275261504650116,2.212522041648626,0.024719540747494606
