epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,9,0.038546398282051086,0.7389658278796344,0.7068602990893684,0.7217287370574691,2.3730041337013246,5.321229500770569,2.5004169154167175,4.88714462518692,3.7704487937688826,0.01723709082216529
50,9,0.020419005304574966,0.7886713350656609,0.7542922691663422,0.7640155885944716,2.0318830370903016,3.2788191652297973,2.397025114297867,3.9283952641487123,2.9090306451916694,0.024655746471189288
100,9,0.01644841954112053,0.8156755459125645,0.7789879882635793,0.7833621564168937,1.9082520616054535,3.158418254852295,2.2898958241939544,2.984376211166382,2.585235587954521,0.03231338949567086
200,9,0.014890429563820362,0.84256620393519,0.7927117820691766,0.8036558027053485,1.9253863728046416,2.8912308263778685,1.8542599660158157,2.528397705554962,2.2998187176883222,0.03891040122984146
