epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,1,0.022559668868780136,0.7662942116385666,0.7639334066921141,0.7647428201086117,2.4730661052465437,4.701079206466675,2.0396615636348723,2.690862295627594,2.9761672927439213,0.0015513915299548708
50,1,0.01893746294081211,0.8078956096214867,0.7895584822926267,0.8004240110708518,2.044698966741562,2.904998989105225,1.9626627260446547,2.3883065223693847,2.3251668010652065,0.007471598550634839
100,1,0.016309648752212524,0.8253099406839058,0.788359940207377,0.8064149671599352,1.9258129018545151,2.7049702072143553,1.9692122679948807,2.3539925599098206,2.238496984243393,0.018894973523970626
200,1,0.01584034599363804,0.8400315847419765,0.7957009745779269,0.8097312354326291,1.8244833415746688,2.50427707195282,1.9827919989824294,2.3012160205841066,2.1531921082735064,0.03030034930934733
