epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,6,0.02388361096382141,0.756517549594069,0.7355778850781501,0.7456208976716394,2.29538180232048,6.0003976631164555,3.1838269448280334,2.7358694767951963,3.5538689717650414,0.010896651922429612
50,6,0.018064264208078384,0.804367779444431,0.7772879231855844,0.7813866385898052,1.9557154840230941,4.342701506614685,1.9496966683864594,2.5731085181236266,2.7053055442869662,0.02298114085462588
100,6,0.017429154366254807,0.820663683032689,0.7917985204364862,0.8000178788887734,1.9477198541164398,3.2557952213287353,1.9738939130306243,2.4392085433006288,2.404154382944107,0.02064580414391559
200,6,0.014875033870339394,0.8352132605966799,0.80063694658729,0.8082141442185935,1.815093418955803,2.675968689918518,1.9165887463092803,2.4337043166160583,2.2103387929499148,0.026999116378086385
