epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,2,0.031404703855514526,0.7663631079107166,0.7589192595915797,0.7573999142333568,2.644614716172218,4.60027898311615,2.415116412639618,3.0754704880714416,3.1838701499998567,0.00896319367735976
50,2,0.0228628758341074,0.8113100005447706,0.7756886204265472,0.7816000491904795,1.9195926290750505,4.455656156539917,1.9689564716815948,2.673873636722565,2.7545197235047816,0.02970995135429111
100,2,0.017057880759239197,0.8245503967446343,0.783813331302377,0.7948810552347865,1.889803146123886,3.777530369758606,1.7968253368139266,2.5761688017845152,2.5100819136202337,0.02966934150984779
200,2,0.014420414343476295,0.8456654501322778,0.7945527320481104,0.8082409182737326,1.8775790113210677,3.068598299026489,1.6576393949985504,2.486643762588501,2.272615116983652,0.03742453185854522
