epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,8,0.02468215860426426,0.7445859087289951,0.7544444783657107,0.7442378705547426,2.7816147923469545,5.733170614242554,2.211358605623245,2.733497576713562,3.364910397231579,0.0003480381742525518
50,8,0.018578385934233665,0.8087940648166208,0.7795771353284221,0.7832591493918124,2.31020374417305,4.143350744247437,1.872274450659752,2.543206868171692,2.7172589518129824,0.025534915424808347
100,8,0.021799903362989426,0.8290062132506736,0.7878012709344928,0.7963346767624703,2.0114735019207,3.376753873825073,1.8191806310415268,2.505493924617767,2.428225482851267,0.03267153648820331
200,8,0.015779605135321617,0.8439502801571848,0.7929132023712961,0.8026118333534584,2.008364063501358,2.843277497291565,1.8319257974624634,2.519913876056671,2.3008703085780144,0.041338446803726336
