epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,9,0.03289513662457466,0.7734333999141662,0.7507998613392118,0.7509460934788525,2.90435955286026,4.656412863731385,2.76049221932888,3.002823243141174,3.3310219697654246,0.022487306435313603
50,9,0.01750452257692814,0.8141404969897887,0.7772613667089588,0.7802281422853075,2.0961436575651167,3.4796143341064454,2.435495300889015,2.892479267120361,2.725933139920235,0.033912354704481285
100,9,0.015754088759422302,0.8285894573424133,0.7797017915969423,0.7885326293759217,2.0039706015586853,3.093883080482483,2.1690493792295458,2.860108392238617,2.5317528633773327,0.04005682796649157
200,9,0.01542935986071825,0.8404930473373408,0.782675274954396,0.7960516616779431,1.9277670407295227,2.863198857307434,2.0957094687223434,2.688351323604584,2.393756672590971,0.0444413856593977
