epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,7,0.01925816759467125,0.7595494802230133,0.7482592629720193,0.7471961115410016,2.719572480916977,5.56558319568634,2.076658749580383,2.762750267982483,3.281141173541546,0.012353368682011645
50,7,0.020570162683725357,0.7928631908041129,0.7699185359069115,0.7774229811377986,2.135441333055496,3.6693902683258055,2.061017394065857,2.7241270899772645,2.647494021356106,0.01544020966631432
100,7,0.01586676761507988,0.8160939629223779,0.7780204357657788,0.7882704714462199,1.9999437940120697,3.3087393999099732,2.2493972110748293,2.5427201914787294,2.5252001491189002,0.027823491476158035
200,7,0.016916105523705482,0.8280192629751738,0.7828181184737578,0.7913773537184399,1.9141337716579436,3.183045086860657,2.156278909444809,2.5485329842567443,2.4504976880550386,0.03664190925673394
