epoca,semilla,train_loss,iou_train,iou_monitor,iou_eval,mae_izq,mae_der,mae_sup,mae_inf,mae_medio,brecha
25,0,0.020033782348036766,0.7884742687792554,0.7763407097571884,0.7770447839596804,2.173600549697876,3.9094355630874635,2.49555472612381,2.7815995597839356,2.8400475996732713,0.011429484819575064
50,0,0.016789136454463005,0.819411386288814,0.7930496454357305,0.7929155569508591,2.0666832762956617,3.2426322221755983,2.2893657130002976,2.5937641787528993,2.548111347556114,0.026495829337954913
100,0,0.015420335344970226,0.8312555182175386,0.7993520598403786,0.7978290202296869,2.0462181544303895,2.9988690757751466,2.2307714462280273,2.504946060180664,2.445201184153557,0.03342649798785169
200,0,0.010761668905615807,0.8397637441904271,0.8047546828334624,0.8042426788964258,2.0142093074321745,2.6184406661987305,2.1846233254671095,2.4176524877548218,2.308731446713209,0.03552106529400134
